ctx_screen_location,Screen Description,ctx_event_name,Event Description
home,Màn hình trang chủ,view_page,User xem trang
home,Màn hình trang chủ,view_promotion_banner,User view banner mở webview để xem landing page
home,Màn hình trang chủ,click_prescription,User click vào Mua thuốc theo đơn/Gửi toa cho nhà thuốc
home,Màn hình trang chủ,request_help,User click vào Tư vấn với dược sĩ
home,Màn hình trang chủ,click_store_search,User click vào Tìm nhà thuốc
home,Màn hình trang chủ,view_list_order_history,User click vào Đơn hàng của tôi
home,Màn hình trang chủ,click_vaccine_service,User bấm để xem trang về Vaccine
home,Màn hình trang chủ,click_health_check,User click vào kiểm tra sức khoẻ mở webview
home,Màn hình trang chủ,click_brand_product,User bấm vào các thẻ thương hiệu
home,Màn hình trang chủ,click_slide_back,User xem các item trước đó trong danh sách
home,Màn hình trang chủ,click_slide_next,User xem các item tiếp theo trong danh sách
home,Màn hình trang chủ,click_category,User click vào một category sản phẩm
home,Màn hình trang chủ,click_home_section_filter,User bấm sử dụng các bộ lọc theo section trên trang chủ
home,Màn hình trang chủ,click_view_all,User click vào xem tất cả danh sách
home,Màn hình trang chủ,click_article_category,User bấm xem theo danh mục bài viết
home,Màn hình trang chủ,click_article,User click vào bài viết
home,Màn hình trang chủ,click_button_explore,User bấm vào các button khám phá/tìm hiểu các chương trình
home,Màn hình trang chủ,click_call_help,User bấm vào nút Tư vấn ở trang chủ
home,Màn hình trang chủ,view_activity,User bấm Xem hoạt động giao hàng trên trang home
home,Màn hình trang chủ,click_view_more,User bấm vào xem thêm
home,Màn hình trang chủ,click_go_to_top,User bấm nút go to top (trở về đầu trang)
home,Màn hình trang chủ,click_qr_code,User click vào QR Code
home,Màn hình trang chủ,view_detail_order,User click vào xem chi tiết đơn hàng
home,Màn hình trang chủ,repurchase_order,User click vào nút mua lại đơn hàng để chọn sản phẩm mua lại
home,Màn hình trang chủ,click_loyalty_point,User click vào điểm Loyalty
home,Màn hình trang chủ,click_top_search,User bấm vào các thẻ tìm kiếm hàng đầu
home,Màn hình trang chủ,scroll_depth,User cuộn trang
home,Màn hình trang chủ,click_message,Users chọn phương thức Nhắn tin
home,Màn hình trang chủ,view_detail_expert,User bấm xem thông tin chuyên gia
home,Màn hình trang chủ,view_detail_flash_sale,User bấm xem trang landing của flash sale
home,Màn hình trang chủ,view_flash_sale_policy,User bấm xem thể lệ của flash sale
home,Màn hình trang chủ,select_tab_flash_sale,User bấm xem các tab trong flash sale
home,Màn hình trang chủ,click_chat_now,User bấm Chat ngay
home,Màn hình trang chủ,click_verify_auth,User bấm Tra cứu chính hãng
home,Màn hình trang chủ,click_masterd_blindcard,User bấm floating icon campaign MasterD
home,Màn hình trang chủ,click_banner_section,User click vào banner của section
home,Màn hình trang chủ,click_banner_storytelling,User bấm xem banner storytelling
home,Màn hình trang chủ,view_banner,User view banner trên màn hình của mình
