"id","customer_id","leader_id","member_ids","event","_record_date"
"0","0","0","{'0','1'}",Event_0,2026-05-15
"1","1","1","{'1','2'}",Event_1,2026-05-15
"10","10","10","{'10','11'}",Event_10,2026-05-15
"100","100","100","{'100','101'}",Event_0,2026-05-15
"1000","1000","1000","{'1000','1001'}",Event_0,2026-05-15
"10000","10000","0","{'10000','10001'}",Event_0,2026-05-15
"100000","100000","0","{'100000','100001'}",Event_0,2026-05-15
"1000000","1000000","0","{'1000000','1000001'}",Event_0,2026-05-15
"1000001","1000001","1","{'1000001','1000002'}",Event_1,2026-05-15
"1000002","1000002","2","{'1000002','1000003'}",Event_2,2026-05-15
"1000003","1000003","3","{'1000003','1000004'}",Event_3,2026-05-15
"1000004","1000004","4","{'1000004','1000005'}",Event_4,2026-05-15
"1000005","1000005","5","{'1000005','1000006'}",Event_5,2026-05-15
"1000006","1000006","6","{'1000006','1000007'}",Event_6,2026-05-15
"1000007","1000007","7","{'1000007','1000008'}",Event_7,2026-05-15
"1000008","1000008","8","{'1000008','1000009'}",Event_8,2026-05-15
"1000009","1000009","9","{'1000009','1000010'}",Event_9,2026-05-15
"100001","100001","1","{'100001','100002'}",Event_1,2026-05-15
"1000010","1000010","10","{'1000010','1000011'}",Event_10,2026-05-15
"1000011","1000011","11","{'1000011','1000012'}",Event_11,2026-05-15
"1000012","1000012","12","{'1000012','1000013'}",Event_12,2026-05-15
"1000013","1000013","13","{'1000013','1000014'}",Event_13,2026-05-15
"1000014","1000014","14","{'1000014','1000015'}",Event_14,2026-05-15
"1000015","1000015","15","{'1000015','1000016'}",Event_15,2026-05-15
"1000016","1000016","16","{'1000016','1000017'}",Event_16,2026-05-15
"1000017","1000017","17","{'1000017','1000018'}",Event_17,2026-05-15
"1000018","1000018","18","{'1000018','1000019'}",Event_18,2026-05-15
"1000019","1000019","19","{'1000019','1000020'}",Event_19,2026-05-15
"100002","100002","2","{'100002','100003'}",Event_2,2026-05-15
"1000020","1000020","20","{'1000020','1000021'}",Event_20,2026-05-15
"1000021","1000021","21","{'1000021','1000022'}",Event_21,2026-05-15
"1000022","1000022","22","{'1000022','1000023'}",Event_22,2026-05-15
"1000023","1000023","23","{'1000023','1000024'}",Event_23,2026-05-15
"1000024","1000024","24","{'1000024','1000025'}",Event_24,2026-05-15
"1000025","1000025","25","{'1000025','1000026'}",Event_25,2026-05-15
"1000026","1000026","26","{'1000026','1000027'}",Event_26,2026-05-15
"1000027","1000027","27","{'1000027','1000028'}",Event_27,2026-05-15
"1000028","1000028","28","{'1000028','1000029'}",Event_28,2026-05-15
"1000029","1000029","29","{'1000029','1000030'}",Event_29,2026-05-15
"100003","100003","3","{'100003','100004'}",Event_3,2026-05-15
"1000030","1000030","30","{'1000030','1000031'}",Event_30,2026-05-15
"1000031","1000031","31","{'1000031','1000032'}",Event_31,2026-05-15
"1000032","1000032","32","{'1000032','1000033'}",Event_32,2026-05-15
"1000033","1000033","33","{'1000033','1000034'}",Event_33,2026-05-15
"1000034","1000034","34","{'1000034','1000035'}",Event_34,2026-05-15
"1000035","1000035","35","{'1000035','1000036'}",Event_35,2026-05-15
"1000036","1000036","36","{'1000036','1000037'}",Event_36,2026-05-15
"1000037","1000037","37","{'1000037','1000038'}",Event_37,2026-05-15
"1000038","1000038","38","{'1000038','1000039'}",Event_38,2026-05-15
"1000039","1000039","39","{'1000039','1000040'}",Event_39,2026-05-15
"100004","100004","4","{'100004','100005'}",Event_4,2026-05-15
"1000040","1000040","40","{'1000040','1000041'}",Event_40,2026-05-15
"1000041","1000041","41","{'1000041','1000042'}",Event_41,2026-05-15
"1000042","1000042","42","{'1000042','1000043'}",Event_42,2026-05-15
"1000043","1000043","43","{'1000043','1000044'}",Event_43,2026-05-15
"1000044","1000044","44","{'1000044','1000045'}",Event_44,2026-05-15
"1000045","1000045","45","{'1000045','1000046'}",Event_45,2026-05-15
"1000046","1000046","46","{'1000046','1000047'}",Event_46,2026-05-15
"1000047","1000047","47","{'1000047','1000048'}",Event_47,2026-05-15
"1000048","1000048","48","{'1000048','1000049'}",Event_48,2026-05-15
"1000049","1000049","49","{'1000049','1000050'}",Event_49,2026-05-15
"100005","100005","5","{'100005','100006'}",Event_5,2026-05-15
"1000050","1000050","50","{'1000050','1000051'}",Event_50,2026-05-15
"1000051","1000051","51","{'1000051','1000052'}",Event_51,2026-05-15
"1000052","1000052","52","{'1000052','1000053'}",Event_52,2026-05-15
"1000053","1000053","53","{'1000053','1000054'}",Event_53,2026-05-15
"1000054","1000054","54","{'1000054','1000055'}",Event_54,2026-05-15
"1000055","1000055","55","{'1000055','1000056'}",Event_55,2026-05-15
"1000056","1000056","56","{'1000056','1000057'}",Event_56,2026-05-15
"1000057","1000057","57","{'1000057','1000058'}",Event_57,2026-05-15
"1000058","1000058","58","{'1000058','1000059'}",Event_58,2026-05-15
"1000059","1000059","59","{'1000059','1000060'}",Event_59,2026-05-15
"100006","100006","6","{'100006','100007'}",Event_6,2026-05-15
"1000060","1000060","60","{'1000060','1000061'}",Event_60,2026-05-15
"1000061","1000061","61","{'1000061','1000062'}",Event_61,2026-05-15
"1000062","1000062","62","{'1000062','1000063'}",Event_62,2026-05-15
"1000063","1000063","63","{'1000063','1000064'}",Event_63,2026-05-15
"1000064","1000064","64","{'1000064','1000065'}",Event_64,2026-05-15
"1000065","1000065","65","{'1000065','1000066'}",Event_65,2026-05-15
"1000066","1000066","66","{'1000066','1000067'}",Event_66,2026-05-15
"1000067","1000067","67","{'1000067','1000068'}",Event_67,2026-05-15
"1000068","1000068","68","{'1000068','1000069'}",Event_68,2026-05-15
"1000069","1000069","69","{'1000069','1000070'}",Event_69,2026-05-15
"100007","100007","7","{'100007','100008'}",Event_7,2026-05-15
"1000070","1000070","70","{'1000070','1000071'}",Event_70,2026-05-15
"1000071","1000071","71","{'1000071','1000072'}",Event_71,2026-05-15
"1000072","1000072","72","{'1000072','1000073'}",Event_72,2026-05-15
"1000073","1000073","73","{'1000073','1000074'}",Event_73,2026-05-15
"1000074","1000074","74","{'1000074','1000075'}",Event_74,2026-05-15
"1000075","1000075","75","{'1000075','1000076'}",Event_75,2026-05-15
"1000076","1000076","76","{'1000076','1000077'}",Event_76,2026-05-15
"1000077","1000077","77","{'1000077','1000078'}",Event_77,2026-05-15
