"group_customer_id","primary_customer_name_encrypted","primary_customer_age","primary_customer_gender","primary_customer_pronoun","primary_customer_province_code","primary_customer_ward_code","primary_customer_hometown","primary_customer_career","_record_date"
"0",w4oMyQ6aua0WDrNvARr6H6Vnpexw4Y6O3/nlFgkflE983EQd7Xw=,"30",Male,Mr,"0","0",Hometown 0,Career 0,2026-05-13
"1",z3IU3o1j/dHNW1J6nden6lBBqN3oPE2ybhAaKwLcMmUnRZvn3bc=,"31",Female,Ms,"1","1",Hometown 1,Career 1,2026-05-13
"10","9VbuAWjxH+/nJ3zGOJd8AavhMhWTHEtSBkG2XCgT5MS1Ao+4SSLX","40",Male,Mr,"10","10",Hometown 10,Career 0,2026-05-13
"100",TqgkXB3NDZl3MF3BzS8X7n2G31Fj6LlRKZW4MiOOjkR7UcLEeHai+Q==,"30",Male,Mr,"37","100",Hometown 37,Career 0,2026-05-13
"101",fNdRDuREM1cwLbGj1rXDgiJRpDAKvonj4bGo3rQ6uGS1Bg6rgN0Ziw==,"31",Female,Ms,"38","101",Hometown 38,Career 1,2026-05-13
"102",R4CYEGYxUEIOPvaJO2fvGJx6w3Ep0vmfaGRYgJWoAEIkBTFuYgue5Q==,"32",Male,Mr,"39","102",Hometown 39,Career 2,2026-05-13
"103",X8Qh0ex5c2YOnOCVGSxCtTnzNX1FeULMrlB8aMWaW2/16tGIL89U8g==,"33",Female,Ms,"40","103",Hometown 40,Career 3,2026-05-13
"104",qMFypafitLW5CRuha9huXl1fHCPG7y0eAkXnGa9//8DcRJt0PFQC5g==,"34",Male,Mr,"41","104",Hometown 41,Career 4,2026-05-13
"105",Lri29XZ0Zmcctiq8DP42y5DFC9izYHHx4dAAgq/j4VKJdwaLETiaig==,"35",Female,Ms,"42","105",Hometown 42,Career 5,2026-05-13
"106",PYZRIrn4E/yX88QiUELCm3ZBrUyS5GTqTLyz4prfJZHiSvnej5Y6AA==,"36",Male,Mr,"43","106",Hometown 43,Career 6,2026-05-13
