"province_code","province_name","province_english_name","province_level","_record_date"
"1",Thành phố Hà Nội,,Thành phố Trung ương,2026-05-14
"11",Tỉnh Điện Biên,,Tỉnh,2026-05-14
"12",Tỉnh Lai Châu,,Tỉnh,2026-05-14
"14",Tỉnh Sơn La,,Tỉnh,2026-05-14
"15",Tỉnh Lào Cai,,Tỉnh,2026-05-14
"19",Tỉnh Thái Nguyên,,Tỉnh,2026-05-14
"20",Tỉnh Lạng Sơn,,Tỉnh,2026-05-14
"22",Tỉnh Quảng Ninh,,Tỉnh,2026-05-14
"24",Tỉnh Bắc Ninh,,Tỉnh,2026-05-14
"25",Tỉnh Phú Thọ,,Tỉnh,2026-05-14
"31",Thành phố Hải Phòng,,Thành phố Trung ương,2026-05-14
"33",Tỉnh Hưng Yên,,Tỉnh,2026-05-14
"37",Tỉnh Ninh Bình,,Tỉnh,2026-05-14
"38",Tỉnh Thanh Hóa,,Tỉnh,2026-05-14
"4",Tỉnh Cao Bằng,,Tỉnh,2026-05-14
"40",Tỉnh Nghệ An,,Tỉnh,2026-05-14
"42",Tỉnh Hà Tĩnh,,Tỉnh,2026-05-14
"44",Tỉnh Quảng Trị,,Tỉnh,2026-05-14
"46",Thành phố Huế,,Thành phố Trung ương,2026-05-14
"48",Thành phố Đà Nẵng,,Thành phố Trung ương,2026-05-14
"51",Tỉnh Quảng Ngãi,,Tỉnh,2026-05-14
"52",Tỉnh Gia Lai,,Tỉnh,2026-05-14
"56",Tỉnh Khánh Hòa,,Tỉnh,2026-05-14
"66",Tỉnh Đắk Lắk,,Tỉnh,2026-05-14
"68",Tỉnh Lâm Đồng,,Tỉnh,2026-05-14
"75",Thành phố Đồng Nai,,Thành phố Trung ương,2026-05-14
"79",Thành phố Hồ Chí Minh,,Thành phố Trung ương,2026-05-14
"8",Tỉnh Tuyên Quang,,Tỉnh,2026-05-14
"80",Tỉnh Tây Ninh,,Tỉnh,2026-05-14
"82",Tỉnh Đồng Tháp,,Tỉnh,2026-05-14
"86",Tỉnh Vĩnh Long,,Tỉnh,2026-05-14
"91",Tỉnh An Giang,,Tỉnh,2026-05-14
"92",Thành phố Cần Thơ,,Thành phố Trung ương,2026-05-14
"96",Tỉnh Cà Mau,,Tỉnh,2026-05-14
