"regimen_id","vaccine_id","age_unit","from_age_number","to_age_number","schedule_type","required_injections","max_injections","is_pregnant_regimen","_record_date"
REG_0,ad980c82-0ed4-4793-a7e6-3b74ab3d3db7,Age,50,1000,Từ 50 tuổi trở lên,2,2,0,2026-05-15
REG_1,b046a06e-cfc1-4327-9bfe-8efd07372dbd,Month,12,24,Từ 12 tháng - dưới 24 tháng,3,3,0,2026-05-15
REG_10,"4912c9b0-bb38-4aea-9635-cedb8c3aec9d",Age,16,1000,Nhanh - Từ 16 tuổi,4,4,0,2026-05-15
REG_11,"7102f3ef-eb3f-48b7-9f82-019ffe8125fe",Week,8,209,Từ tròn 02 tháng tuổi - dưới 04 tuổi - cơ bản,3,0,0,2026-05-15
REG_12,"994195b8-647a-4107-a282-bc4f20aebb67",Month,12,84,Đã tiêm sởi đơn - Từ 1 - dưới 7 tuổi,2,2,0,2026-05-15
REG_13,f7b6a56f-eb21-45e8-af79-ace66797ded2,Week,6,30,Từ 6 tuần - dưới 7 tháng tuổi,4,4,0,2026-05-15
REG_14,"6cbc7463-9db7-40c2-91dc-1478d50b9773",Age,10,65,Từ 10 - dưới 65 tuổi - chưa tiêm,3,0,0,2026-05-15
REG_15,"50b8cd1b-fd31-4a24-808d-72ec6f5f8291","",0,0,Tiêm trong da 0.1ml - Sau phơi nhiễm - Đã dự phòng,2,0,0,2026-05-15
REG_16,b046a06e-cfc1-4327-9bfe-8efd07372dbd,Month,6,12,Từ 06 tháng - dưới 12 tháng,3,3,0,2026-05-15
REG_17,f5d7aebf-4c9a-4761-91ef-60cbdcd35638,Month,6,108,Từ 6 tháng - dưới 9 tuổi,2,0,0,2026-05-15
REG_18,"0eabd09e-baae-46f5-93e8-a8894d3e2bfb",Age,0,1000,Từ dưới 20 tuổi trở xuống - Nhanh,4,0,0,2026-05-15
REG_19,f44a0269-f87c-4ea8-ba37-be5e01fc012e,Age,20,1000,Từ tròn 20 tuổi trở lên - Nhanh,4,0,0,2026-05-15
REG_2,f4b7e4be-1758-4d3c-9244-8564c6680e23,Age,3,49,Trên 3 tuổi - 49 tuổi,2,3,0,2026-05-15
REG_20,d2185439-42f0-4734-be8c-4e0c122bc48a,Age,7,10,Từ 7 - dưới 10 tuổi - chưa tiêm,3,0,0,2026-05-15
REG_21,d6d60800-8212-4c75-9825-953e8eb84354,Week,6,30,Từ 6 tuần - dưới 7 tháng tuổi PĐ 2+1,3,3,0,2026-05-15
REG_22,"2aeb30fd-c7c7-4f6e-b530-747f12cf9133",Month,24,672,Từ 2 - dưới 56 tuổi,1,1,0,2026-05-15
REG_23,d2eee2d8-8568-4a60-b1c2-0c3ffef6bbcd,Week,0,52143,Từ 0 tuổi trở lên,10,10,0,2026-05-15
REG_24,b046a06e-cfc1-4327-9bfe-8efd07372dbd,Week,8,26,Từ 02 tháng - dưới 6 tháng - dịch bùng phát,4,4,0,2026-05-15
REG_25,d6d60800-8212-4c75-9825-953e8eb84354,Week,6,30,Từ 6 tuần - dưới 7 tháng tuổi PĐ 2+1,3,3,0,2026-05-15
REG_26,"0eabd09e-baae-46f5-93e8-a8894d3e2bfb",Age,0,1000,Từ dưới 20 tuổi trở xuống - Nguy cơ cao,4,0,0,2026-05-15
REG_27,"6adcce41-9314-4491-a5bf-032e6e039664",Week,0,1000,Tiêm trong da 0.1mlx2 - Sau phơi nhiễm - Chưa dự phòng,4,0,0,2026-05-15
REG_28,"6adcce41-9314-4491-a5bf-032e6e039664",Week,0,52143,Tiêm bắp 0.5ml - Booster,1,0,0,2026-05-15
REG_29,f389375a-9c42-4eae-9c89-17929d656630,Age,14,46,Tiêm dở PĐ nơi khác - Từ 14 - dưới 46 tuổi.,3,3,0,2026-05-15
REG_3,"1bd6264a-cef7-4a86-a70e-98df51204905",Week,8,52,Từ 2 tháng - dưới 1 tuổi,3,3,0,2026-05-15
REG_30,"6cbc7463-9db7-40c2-91dc-1478d50b9773",Age,4,65,Booster,1,0,0,2026-05-15
REG_31,"50b8cd1b-fd31-4a24-808d-72ec6f5f8291",Week,0,52143,Tiêm bắp 0.5ml - Sau phơi nhiễm - Chưa dự phòng,5,0,0,2026-05-15
REG_32,e428b854-cd7e-40da-b10f-58ed7ab66a67,"",0,0,Phụ nữ mang thai,2,0,1,2026-05-15
REG_33,d6d60800-8212-4c75-9825-953e8eb84354,Month,12,72,Từ 1 - dưới 6 tuổi,2,2,0,2026-05-15
REG_34,c07b5616-0b15-457e-b33d-2d39098fd81e,Week,0,522,Từ 10 tuổi trở xuống - Thông thường,3,0,0,2026-05-15
REG_35,f44a0269-f87c-4ea8-ba37-be5e01fc012e,Age,20,1000,Từ tròn 20 tuổi trở lên - Nguy cơ cao,4,0,0,2026-05-15
REG_36,"543e9685-b1fd-4efd-a670-38a788feabdb",Age,7,1000,Từ 7 tuổi,2,2,0,2026-05-15
