"shop_code","shop_type","shop_name","shop_address","shop_grand_opening_date","shop_opening_date","shop_closing_date","shop_province_name","shop_province_code","shop_area_name","shop_region_name","shop_ward_name","shop_ward_code","_record_date"
SHOP_0,"[""F""]","LC LĐG 29 Nguyễn Hội, P. Phan Thiết","29 Nguyễn Hội, P. Phú Trinh, TP. Phan Thiết, Tỉnh Bình Thuận",2025-05-08,2021-06-23,2149-06-06,Tỉnh Bình Thuận,"11",Miền Đông - KV6,Miền Đông,Phường Phú Trinh,"22930",2026-05-13
SHOP_1,"[""F""]","LC HCM 75 Lương Ngọc Quyến, P. Phú Định","75 Lương Ngọc Quyến, P. 13, Q. 8, TP. Hồ Chí Minh",2021-10-21,2021-11-28,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV2,Hồ Chí Minh 1,Phường 13,"27412",2026-05-13
SHOP_10,"[""F""]","LC HCM 159-161 Nguyễn Bình, X. Nhà Bè","159-161 Nguyễn Bình, X. Phú Xuân, H. Nhà Bè, TP. Hồ Chí Minh",2019-09-18,2019-08-20,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV16,Hồ Chí Minh 1,Xã Phú Xuân,"27655",2026-05-13
SHOP_100,"[""VACCINE""]","VX HCM 408 Lê Trọng Tấn, P. Tây Thạnh","408 Lê Trọng Tấn, P. Tây Thạnh, Q. Tân Phú, TP. Hồ Chí Minh",2024-08-02,2024-07-15,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV25,Hồ Chí Minh 1,Phường Tây Thạnh,"27013",2026-05-13
SHOP_101,"[""F""]","LC HCM 124/1H - 124/1S Nguyễn Ảnh Thủ, X. Bà Điểm","124/1H -124/1S Nguyễn Ảnh Thủ, X. Trung Chánh, H. Hóc Môn, TP. Hồ Chí Minh",2024-07-11,2024-06-23,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV26,Hồ Chí Minh 1,Xã Trung Chánh,"27586",2026-05-13
SHOP_102,"[""F""]","LC BNH Phố Bằng Nguộn, X. Tiên Lục","Phố Bằng Nguộn, X. An Hà, H. Lạng Giang, Tỉnh Bắc Giang",2023-06-15,2023-05-21,2149-06-06,Tỉnh Bắc Giang,"4",Hà Nội - KV27,Hà Nội,Xã An Hà,"7396",2026-05-13
SHOP_103,"[""F""]","LC DNI 5 Hai Bà Trưng, X. Long Thành","5 Hai Bà Trưng, TT. Long Thành, H. Long Thành, Tỉnh Đồng Nai",2020-09-08,2020-07-25,2149-06-06,Tỉnh Đồng Nai,"18",Miền Đông - KV7,Miền Đông,Thị trấn Long Thành,"26368",2026-05-13
SHOP_104,"[""F""]","LC GLI 176 Tăng Bạt Hổ, P. Quy Nhơn","176 Tăng Bạt Hổ, P. Thị Nại, TP. Quy Nhơn, Tỉnh Bình Định",2025-07-25,2025-05-21,2149-06-06,Tỉnh Bình Định,"3",Miền Trung - KV14,Miền Trung,Phường Thị Nại,"21568",2026-05-13
SHOP_105,"[""F""]","LC DNI 2552-2554 Hùng Vương, X. Xuân Lộc","2552-2554 Hùng Vương, X. Xuân Hiệp, H. Xuân Lộc, Tỉnh Đồng Nai",2025-06-20,2025-05-28,2025-11-01,Tỉnh Đồng Nai,"18",Miền Đông - KV23,Miền Đông,Xã Xuân Hiệp,"26455",2026-05-13
SHOP_106,"[""F""]","LC DNI 666/20 Trần Cao Vân, X. Dầu Giây","666/20 Trần Cao Vân, TT. Dầu Giây, H. Thống Nhất, Tỉnh Đồng Nai",2022-12-06,2022-11-06,2149-06-06,Tỉnh Đồng Nai,"18",Miền Đông - KV34,Miền Đông,Xã Gia Tân 1,"26299",2026-05-13
SHOP_107,"[""F""]","LC TTH 80-82 Ngô Quyền, P. Thuận Hóa","80-82 Ngô Quyền, P. Vĩnh Ninh, Q. Thuận Hóa, TP. Huế",2020-11-14,2020-09-22,2149-06-06,Huế,"31",Miền Trung - KV6,Miền Trung,Phường Vĩnh Ninh,"19783",2026-05-13
SHOP_108,"[""F""]","LC HCM 24/10 Huỳnh Tấn Phát, X. Nhà Bè","24/10 Huỳnh Tấn Phát, TT. Nhà Bè, H. Nhà Bè, TP. Hồ Chí Minh",2019-03-04,2019-02-27,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV16,Hồ Chí Minh 1,Thị trấn Nhà Bè,"27643",2026-05-13
SHOP_109,"[""F""]","LC NAN 69 Hermann Gmeiner, P. Trường Vinh","69 Hermann Gmeiner, P. Hưng Phúc, TP. Vinh, Tỉnh Nghệ An",2022-04-15,2022-05-06,2149-06-06,Tỉnh Nghệ An,"42",Miền Trung - KV7,Miền Trung,Phường Hưng Phúc,"16673",2026-05-13
SHOP_11,"[""VACCINE""]","VX HCM 294 Thống Nhất, P. An Hội Đông","294 Thống Nhất, P. 16, Q. Gò Vấp, TP. Hồ Chí Minh",2025-05-16,2025-05-13,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV17,Hồ Chí Minh 1,Phường 16,"26878",2026-05-13
SHOP_110,"[""VACCINE""]","VX DAG 279 Phan Châu Trinh, P. Tam Kỳ","279 Phan Châu Trinh, P. Phước Hòa, TP. Tam Kỳ, Tỉnh Quảng Nam",2025-02-21,2025-02-18,2149-06-06,Tỉnh Quảng Nam,"51",Miền Trung - KV3,Miền Trung,Phường Phước Hòa,"20338",2026-05-13
SHOP_111,"[""F""]","LC HCM 41 Đường Tỉnh Lộ 8, X. Phú Hoà Đông","41 Đường Tỉnh Lộ 8, Xã Tân Thạnh Tây, Huyện Củ Chi, Thành Phố Hồ Chí Minh",2026-01-16,2025-12-19,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV18,Hồ Chí Minh 1,Xã Tân Thạnh Tây,"27541",2026-05-13
SHOP_112,"[""F""]","LC HCM 250 Bàu Cát, P. Bảy Hiền","250 Bàu Cát, P. 11, Q. Tân Bình, TP. Hồ Chí Minh",2021-10-30,2021-09-10,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV31,Hồ Chí Minh 1,Phường 11,"26983",2026-05-13
SHOP_113,"[""F""]","LC CBG 46 Đông Khê, P. Tân Giang","46 Đông Khê, P. Tân Giang, TP. Cao Bằng, Tỉnh Cao Bằng",2022-07-26,2022-08-24,2149-06-06,Tỉnh Cao Bằng,"12",Miền Bắc 1 - KV2,Miền Bắc 1,Phường Tân Giang,"1276",2026-05-13
SHOP_114,"[""F""]","LC CTO Lô 12 Trung Tâm Thương Mại Thốt Nốt, P. Thốt Nốt","Lô 12 Trung Tâm Thương Mại Thốt Nốt, P. Thốt Nốt, Q. Thốt Nốt, TP. Cần Thơ",2021-04-23,2021-04-13,2149-06-06,Cần Thơ,"14",Miền Tây Nam Bộ - KV25,Miền Tây,Phường Thốt Nốt,"31207",2026-05-13
SHOP_115,"[""F""]","LC HYN 10-12 Phố Nối, P. Mỹ Hào","10-12 Phố Nối, P. Bần Yên Nhân, TX. Mỹ Hào, Tỉnh Hưng Yên",2022-07-18,2022-07-27,2149-06-06,Tỉnh Hưng Yên,"33",Miền Bắc 2 - KV14,Miền Bắc 2,Phường Bần Yên Nhân,"12103",2026-05-13
SHOP_116,"[""F""]","LC HCM 798 Tỉnh Lộ 10, P. Bình Tân","798 Tỉnh Lộ 10, P. Bình Trị Đông A, Q. Bình Tân, TP. Hồ Chí Minh",2024-07-05,2024-06-12,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV22,Hồ Chí Minh 1,Phường Bình Trị Đông A,"27448",2026-05-13
SHOP_117,"[""F""]","LC LĐG 1 Nguyễn Tri Phương, X. Di Linh","1 Nguyễn Tri Phương, TT. Di Linh, H. Di Linh, Tỉnh Lâm Đồng",2025-08-06,2025-07-08,2149-06-06,Tỉnh Lâm Đồng,"40",Miền Đông - KV18,Miền Đông,Thị trấn Di Linh,"25000",2026-05-13
SHOP_118,"[""VACCINE""]","VX TNH 4-6-8 Phạm Hùng, P. Long Hoa","4-6-8 Phạm Hùng, P. Long Hoa, TX. Hòa Thành, Tỉnh Tây Ninh",2025-08-15,2025-08-12,2149-06-06,Tỉnh Tây Ninh,"58",Hồ Chí Minh 2 - KV10,Hồ Chí Minh 2,Phường Long Hoa,"90163",2026-05-13
SHOP_119,"[""F""]","LC DLK 279 Phan Bội Châu, P. Buôn Ma Thuột","279 Phan Bội Châu, P. Tân Tiến, TP. Buôn Mê Thuột, Tỉnh Đắk Lắk",2021-10-27,2021-05-17,2149-06-06,Tỉnh Đắk Lắk,"16",Miền Đông - KV3,Miền Đông,Phường Tân Tiến,"24145",2026-05-13
SHOP_12,"[""F""]","LC DLK Thôn Phú Long, X. Tuy An Nam","Thôn Phú Long, X. An Mỹ, H. Tuy An, Tỉnh Phú Yên",2025-06-06,2025-05-09,2149-06-06,Tỉnh Phú Yên,"47",Miền Đông - KV2,Miền Đông,Xã An Mỹ,"22153",2026-05-13
SHOP_120,"[""F""]","LC BNH Thôn Khánh, X. Hiệp Hòa","Thôn Khánh, Xã Lương Phong, Huyện Hiệp Hòa, Tỉnh Bắc Giang",2025-11-14,2025-09-22,2149-06-06,Tỉnh Bắc Giang,"4",Hà Nội - KV33,Hà Nội,Xã Lương Phong,"7846",2026-05-13
SHOP_121,"[""F""]","LC DLK 198 Phạm Văn Đồng, P. Tân Lập","198 Phạm Văn Đồng, P. Tân Hòa, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk",2024-08-24,2024-07-31,2149-06-06,Tỉnh Đắk Lắk,"16",Miền Đông - KV3,Miền Đông,Phường Tân Hòa,"24121",2026-05-13
SHOP_122,"[""F""]","LC HCM 70 Cửu Long, P. Hòa Hưng","70 Cửu Long, P. 15, Q. 10, TP. Hồ Chí Minh",2020-06-15,2020-05-15,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV33,Hồ Chí Minh 1,Phường 15,"27163",2026-05-13
SHOP_123,"[""F""]","LC DTP 12B/3 Nguyễn Văn Côn, P. Long Thuận","12B/3 Nguyễn Văn Côn, P. 2, TP. Gò Công, Tỉnh Tiền Giang",2021-11-17,2021-12-14,2149-06-06,Tỉnh Tiền Giang,"56",Miền Tây Nam Bộ - KV30,Miền Tây,Phường 2,"28297",2026-05-13
SHOP_124,"[""F""]","LC LĐG 198 Lê Thánh Tôn, X. Tân Hải","198 Lê Thánh Tôn, X. Tân Hải, TX. La Gi, Tỉnh Bình Thuận",2024-01-16,2023-12-24,2149-06-06,Tỉnh Bình Thuận,"11",Miền Đông - KV38,Miền Đông,Xã Tân Hải,"23245",2026-05-13
SHOP_125,"[""F""]","LC TNH 47 Quốc Lộ 22B, P. Gò Dầu","47 Quốc Lộ 22B, P. Gia Bình, TX. Trảng Bàng, Tỉnh Tây Ninh",2022-11-29,2022-11-13,2149-06-06,Tỉnh Tây Ninh,"58",Hồ Chí Minh 2 - KV24,Hồ Chí Minh 2,Phường Gia Bình,"25723",2026-05-13
SHOP_126,"[""F""]","LC AGG 117 Đường 2/9, P. Tô Châu","117 Đường 2/9, P. Tô Châu, TP. Hà Tiên, Tỉnh Kiên Giang",2022-07-04,2022-08-20,2149-06-06,Tỉnh Kiên Giang,"34",Miền Tây Nam Bộ - KV5,Miền Tây,Phường Tô Châu,"30766",2026-05-13
SHOP_127,"[""F""]","LC HNI 248 Nguyễn Văn Giáp, P. Từ Liêm","248 Nguyễn Văn Giáp, P. Cầu Diễn, Q. Nam Từ Liêm, TP. Hà Nội",2025-05-08,2025-03-29,2149-06-06,Hà Nội,"26",Hà Nội - KV10,Hà Nội,Phường Cầu Diễn,"592",2026-05-13
SHOP_128,"[""F""]","LC HNI Tòa S1.05, Vinhomes Smart City, P. Tây Mỗ","Cửa hàng 1SH15, Tòa S1.05, Vinhomes Smart City, P. Tây Mỗ, Q. Nam Từ Liêm, TP. Hà Nội",2025-09-19,2025-08-24,2149-06-06,Hà Nội,"26",Hà Nội - KV10,Hà Nội,Phường Tây Mỗ,"628",2026-05-13
SHOP_129,"[""F""]","LC HCM 111 Đường 30/4, P. Phú Lợi","111 Đường 30/4, P. Phú Hoà, TP. Thủ Dầu Một, Tỉnh Bình Dương",2024-07-05,2024-05-23,2149-06-06,Tỉnh Bình Dương,"2",Hồ Chí Minh 2 - KV15,Hồ Chí Minh 2,Phường Phú Hòa,"25750",2026-05-13
SHOP_13,"[""F""]","LC DAG 408 Trần Đại Nghĩa, P. Ngũ Hành Sơn","408 Trần Đại Nghĩa, P. Hòa Hải, Q. Ngũ Hành Sơn, TP. Đà Nẵng",2025-09-06,2025-07-02,2149-06-06,Đà Nẵng,"17",Miền Trung - KV23,Miền Trung,Phường Hòa Hải,"20290",2026-05-13
SHOP_130,"[""F""]","LC HCM 238 Phan Anh, P. Phú Thạnh","238 Phan Anh, P. Hiệp Tân, Q. Tân Phú, TP. Hồ Chí Minh",2024-09-18,2024-09-08,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 1 - KV15,Hồ Chí Minh 1,Phường Hiệp Tân,"27037",2026-05-13
SHOP_131,"[""F""]","LC TQG 197 Nguyễn Thái Học, P. Hà Giang 2","197 Nguyễn Thái Học, P. Trần Phú, TP. Hà Giang, Tỉnh Hà Giang",2022-06-04,2022-06-10,2149-06-06,Tỉnh Hà Giang,"25",Miền Bắc 1 - KV16,Miền Bắc 1,Phường Trần Phú,"691",2026-05-13
SHOP_132,"[""F""]","LC TNH 206 ĐT784, X. Truông Mít","206 ĐT784, X. Bàu Đồn, H. Gò Dầu, Tỉnh Tây Ninh",2022-11-25,2022-11-06,2149-06-06,Tỉnh Tây Ninh,"58",Hồ Chí Minh 2 - KV29,Hồ Chí Minh 2,Xã Bàu Đồn,"25666",2026-05-13
SHOP_133,"[""F""]","LC CTO 183 Quốc Lộ 80, X. Vĩnh Trinh","183 Quốc Lộ 80, Xã Vĩnh Trinh, Huyện Vĩnh Thạnh, Thành phố Cần Thơ",2024-03-20,2025-10-15,2149-06-06,Cần Thơ,"14",Miền Tây Nam Bộ - KV32,Miền Tây,Xã Vĩnh Trinh,"31237",2026-05-13
SHOP_134,"[""F""]","LC HCM 28 Phú Châu, P. Tam Bình","28 Phú Châu, P. Tam Phú, TP. Thủ Đức, TP. Hồ Chí Minh",2018-10-13,2018-10-02,2149-06-06,Hồ Chí Minh,"23",Hồ Chí Minh 2 - KV3,Hồ Chí Minh 2,Phường Tam Phú,"26806",2026-05-13
SHOP_135,"[""F""]","LC DAG 113 Hoàng Văn Thái, P. Hòa Khánh","113 Hoàng Văn Thái, P. Hòa Khánh Nam, Q. Liên Chiểu, TP. Đà Nẵng",2022-02-10,2022-03-20,2149-06-06,Đà Nẵng,"17",Miền Trung - KV1,Miền Trung,Phường Hòa Khánh Nam,"20198",2026-05-13
