"ward_code","ward_name","ward_english_name","ward_level","province_code","province_name","_record_date"
"10003",Xã Tây Phương,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10015",Phường Chương Mỹ,,Phường,"1",Thành phố Hà Nội,2026-05-14
"10030",Xã Phú Nghĩa,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10045",Xã Xuân Mai,,Xã,"1",Thành phố Hà Nội,2026-05-14
"1006",Xã Yên Cường,,Xã,"8",Tỉnh Tuyên Quang,2026-05-14
"10072",Xã Quảng Bị,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10081",Xã Trần Phú ,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10096",Xã Hòa Phú ,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10114",Xã Thanh Oai,,Xã,"1",Thành phố Hà Nội,2026-05-14
"1012",Xã Đường Hồng,,Xã,"8",Tỉnh Tuyên Quang,2026-05-14
"10126",Xã Bình Minh ,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10144",Xã Tam Hưng,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10180",Xã Dân Hòa ,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10183",Xã Thường Tín,,Xã,"1",Thành phố Hà Nội,2026-05-14
"1021",Xã Hoàng Su Phì,,Xã,"8",Tỉnh Tuyên Quang,2026-05-14
"10210",Xã Hồng Vân,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10231",Xã Thượng Phúc,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10237",Xã Chương Dương,,Xã,"1",Thành phố Hà Nội,2026-05-14
"1024",Xã Bản Máy,,Xã,"8",Tỉnh Tuyên Quang,2026-05-14
"10273",Xã Phú Xuyên,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10279",Xã Phượng Dực,,Xã,"1",Thành phố Hà Nội,2026-05-14
"103",Phường Tây Hồ,,Phường,"1",Thành phố Hà Nội,2026-05-14
"1033",Xã Thàng Tín,,Xã,"8",Tỉnh Tuyên Quang,2026-05-14
"10330",Xã Chuyên Mỹ,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10342",Xã Đại Xuyên,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10354",Xã Vân Đình,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10369",Xã Ứng Thiên,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10402",Xã Ứng Hòa,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10417",Xã Hòa Xá,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10441",Xã Mỹ Đức,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10459",Xã Phúc Sơn,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10465",Xã Hồng Sơn,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10489",Xã Hương Sơn,,Xã,"1",Thành phố Hà Nội,2026-05-14
"10507",Phường Thành Đông,,Phường,"31",Thành phố Hải Phòng,2026-05-14
"1051",Xã Tân Tiến,,Xã,"8",Tỉnh Tuyên Quang,2026-05-14
"10525",Phường Hải Dương,,Phường,"31",Thành phố Hải Phòng,2026-05-14
"10532",Phường Lê Thanh Nghị,,Phường,"31",Thành phố Hải Phòng,2026-05-14
